ClientName,ClientDivisionName,FirstName,LastName,SSN,Address1,Address2,City,StateOrProvince,PostalCode,Country,Sex,DOB,TobaccoUse,EmployeeType,EmployeePayrollType,PremiumCouponType,UsesHCTC,Active,AllowMemberSSO,EventType,EventDate,DependentEnrollmentDate,EmployeeSSN,EmployeeID,EmployeeName,SecondEventOriginalFDOC,PlanName,CoverageLevel,PlanEndDate,DependentSSN,DependentRelationship,DependentFirstName,DependentLastName,DependentAddressSameAsQB,DependentAddress1,DependentAddress2,DependentCity,DependentStateOrProvince,DependentPostalCode,DependentCountry,DependentSex,DependentDOB,DependentAge,IsDependentQMCSO,IsDisabledDependent
FAKE UTILITIES,FAKE UTILITIES,Alex,Johnson,158344773,462 Main St,,Denver,CO,80558,,F,01/16/2002,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,158344773,213685,Alex Johnson,,EMPLOYEE ASSISTANCE PROGRAM (EAP),EE+SPOUSE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Jamie,Smith,858938468,289 Main St,,Fort Collins,CO,80580,,M,08/07/1972,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,858938468,215644,Jamie Smith,,ANTHEM BLUE VIEW VISION PLAN,EE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Jordan,Miller,539342024,902 Main St,,Pueblo,CO,80310,,M,07/08/1983,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,539342024,293597,Jordan Miller,,EMPLOYEE ASSISTANCE PROGRAM (EAP),EE+FAMILY,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Alex,Davis,356075396,321 Main St,,Fort Collins,CO,80175,,M,02/21/1976,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,356075396,295193,Alex Davis,,ANTHEM BLUE VIEW VISION PLAN,EE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Drew,Brown,585616181,809 Main St,,Pueblo,CO,80609,,M,04/23/2002,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,585616181,261735,Drew Brown,,ANTHEM BLUE VIEW VISION PLAN,EE+CHILDREN,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Jamie,Miller,819749521,416 Main St,,Pueblo,CO,80926,,F,05/26/1988,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,819749521,223360,Jamie Miller,,EMPLOYEE ASSISTANCE PROGRAM (EAP),EE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Drew,Brown,626822134,522 Main St,,Denver,CO,80608,,M,10/10/1991,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,626822134,237878,Drew Brown,,DELTA DENTAL BUY-UP PLAN #7714,EE+FAMILY,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Jamie,Thomas,853405785,638 Main St,,Aurora,CO,80955,,F,09/21/1968,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,853405785,293286,Jamie Thomas,,CIGNA BASIC MEDICAL PLAN WITH HRA,EE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Avery,Davis,820730802,100 Main St,,Pueblo,CO,80760,,M,02/14/1960,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,820730802,270714,Avery Davis,,CIGNA BASIC MEDICAL PLAN WITH HRA,EE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Drew,Anderson,726510381,698 Main St,,Boulder,CO,80614,,F,11/06/1986,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,726510381,293350,Drew Anderson,,CIGNA BASIC MEDICAL PLAN WITH HRA,EE+SPOUSE,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Avery,Johnson,508644345,452 Main St,,Denver,CO,80648,,F,09/26/1964,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,508644345,218022,Avery Johnson,,CIGNA BASIC MEDICAL PLAN WITH HRA,EE+CHILDREN,,,,,TRUE,,,,,,,,,FALSE
FAKE UTILITIES,FAKE UTILITIES,Morgan,Smith,364823661,717 Main St,,Aurora,CO,80270,,M,08/16/1987,NO,UNKNOWN,EXEMPT,COUPONBOOK,FALSE,TRUE,TRUE,TERMINATION,02/28/2026,01/01/2025,364823661,239553,Morgan Smith,,CIGNA BASIC MEDICAL PLAN WITH HRA,EE+SPOUSE,,,,,TRUE,,,,,,,,,FALSE
